[CS61C Project 4] start classifier training
iteration: 0, loss: 5.724183, time: 0.206263 sec
iteration: 1, loss: 5.723248, time: 0.206077 sec
iteration: 2, loss: 5.721471, time: 0.205938 sec
iteration: 3, loss: 5.718938, time: 0.206162 sec
iteration: 4, loss: 5.715724, time: 0.205908 sec
iteration: 5, loss: 5.711900, time: 0.206418 sec
iteration: 6, loss: 5.707527, time: 0.205866 sec
iteration: 7, loss: 5.702661, time: 0.206243 sec
iteration: 8, loss: 5.697354, time: 0.206794 sec
iteration: 9, loss: 5.691651, time: 0.206294 sec
iteration: 10, loss: 5.685594, time: 0.206513 sec
iteration: 11, loss: 5.679218, time: 0.206543 sec
iteration: 12, loss: 5.672559, time: 0.206763 sec
iteration: 13, loss: 5.665646, time: 0.206890 sec
iteration: 14, loss: 5.658507, time: 0.206853 sec
iteration: 15, loss: 5.651165, time: 0.206520 sec
iteration: 16, loss: 5.643643, time: 0.205939 sec
iteration: 17, loss: 5.635960, time: 0.206218 sec
iteration: 18, loss: 5.628136, time: 0.206315 sec
iteration: 19, loss: 5.620185, time: 0.206966 sec
iteration: 20, loss: 5.612122, time: 0.206789 sec
iteration: 21, loss: 5.603960, time: 0.213018 sec
iteration: 22, loss: 5.595712, time: 0.206596 sec
iteration: 23, loss: 5.587386, time: 0.206807 sec
iteration: 24, loss: 5.578994, time: 0.206895 sec
iteration: 25, loss: 5.570544, time: 0.206861 sec
iteration: 26, loss: 5.562043, time: 0.206849 sec
iteration: 27, loss: 5.553498, time: 0.206930 sec
iteration: 28, loss: 5.544916, time: 0.206593 sec
iteration: 29, loss: 5.536301, time: 0.206851 sec
iteration: 30, loss: 5.527660, time: 0.206757 sec
iteration: 31, loss: 5.518997, time: 0.207081 sec
iteration: 32, loss: 5.510315, time: 0.206873 sec
iteration: 33, loss: 5.501618, time: 0.206828 sec
iteration: 34, loss: 5.492911, time: 0.206953 sec
iteration: 35, loss: 5.484195, time: 0.206760 sec
iteration: 36, loss: 5.475473, time: 0.206687 sec
iteration: 37, loss: 5.466748, time: 0.206972 sec
iteration: 38, loss: 5.458022, time: 0.206649 sec
iteration: 39, loss: 5.449297, time: 0.207164 sec
iteration: 40, loss: 5.440574, time: 0.206764 sec
iteration: 41, loss: 5.431856, time: 0.206715 sec
iteration: 42, loss: 5.423142, time: 0.206690 sec
iteration: 43, loss: 5.414436, time: 0.209789 sec
iteration: 44, loss: 5.405738, time: 0.206503 sec
iteration: 45, loss: 5.397048, time: 0.206717 sec
iteration: 46, loss: 5.388368, time: 0.206692 sec
iteration: 47, loss: 5.379699, time: 0.206730 sec
iteration: 48, loss: 5.371041, time: 0.207557 sec
iteration: 49, loss: 5.362395, time: 0.206723 sec
iteration: 50, loss: 5.353762, time: 0.206664 sec
iteration: 51, loss: 5.345142, time: 0.206703 sec
iteration: 52, loss: 5.336535, time: 0.206684 sec
iteration: 53, loss: 5.327942, time: 0.206880 sec
iteration: 54, loss: 5.319364, time: 0.206625 sec
iteration: 55, loss: 5.310800, time: 0.207095 sec
iteration: 56, loss: 5.302251, time: 0.206781 sec
iteration: 57, loss: 5.293717, time: 0.206715 sec
iteration: 58, loss: 5.285199, time: 0.205929 sec
iteration: 59, loss: 5.276696, time: 0.207208 sec
iteration: 60, loss: 5.268209, time: 0.206728 sec
iteration: 61, loss: 5.259738, time: 0.206864 sec
iteration: 62, loss: 5.251283, time: 0.206807 sec
iteration: 63, loss: 5.242844, time: 0.206896 sec
iteration: 64, loss: 5.234422, time: 0.206802 sec
iteration: 65, loss: 5.226016, time: 0.206902 sec
iteration: 66, loss: 5.217626, time: 0.206847 sec
iteration: 67, loss: 5.209253, time: 0.206663 sec
iteration: 68, loss: 5.200897, time: 0.206930 sec
iteration: 69, loss: 5.192557, time: 0.206877 sec
iteration: 70, loss: 5.184234, time: 0.206854 sec
iteration: 71, loss: 5.175927, time: 0.206756 sec
iteration: 72, loss: 5.167638, time: 0.206752 sec
iteration: 73, loss: 5.159365, time: 0.206443 sec
iteration: 74, loss: 5.151108, time: 0.206606 sec
iteration: 75, loss: 5.142869, time: 0.205266 sec
iteration: 76, loss: 5.134646, time: 0.206435 sec
iteration: 77, loss: 5.126440, time: 0.206631 sec
iteration: 78, loss: 5.118251, time: 0.206767 sec
iteration: 79, loss: 5.110078, time: 0.207015 sec
iteration: 80, loss: 5.101923, time: 0.206301 sec
iteration: 81, loss: 5.093783, time: 0.206688 sec
iteration: 82, loss: 5.085661, time: 0.206509 sec
iteration: 83, loss: 5.077555, time: 0.207095 sec
iteration: 84, loss: 5.069466, time: 0.206215 sec
iteration: 85, loss: 5.061394, time: 0.206523 sec
iteration: 86, loss: 5.053338, time: 0.206242 sec
iteration: 87, loss: 5.045299, time: 0.206380 sec
iteration: 88, loss: 5.037277, time: 0.206789 sec
iteration: 89, loss: 5.029271, time: 0.206544 sec
iteration: 90, loss: 5.021281, time: 0.206036 sec
iteration: 91, loss: 5.013308, time: 0.206112 sec
iteration: 92, loss: 5.005352, time: 0.205974 sec
iteration: 93, loss: 4.997412, time: 0.206193 sec
iteration: 94, loss: 4.989488, time: 0.206142 sec
iteration: 95, loss: 4.981581, time: 0.206265 sec
iteration: 96, loss: 4.973690, time: 0.205893 sec
iteration: 97, loss: 4.965815, time: 0.206126 sec
iteration: 98, loss: 4.957957, time: 0.206071 sec
iteration: 99, loss: 4.950115, time: 0.206104 sec
iteration: 100, loss: 4.942289, time: 0.206209 sec
iteration: 101, loss: 4.934479, time: 0.206806 sec
iteration: 102, loss: 4.926686, time: 0.206901 sec
iteration: 103, loss: 4.918908, time: 0.206295 sec
iteration: 104, loss: 4.911147, time: 0.206147 sec
iteration: 105, loss: 4.903402, time: 0.206552 sec
iteration: 106, loss: 4.895672, time: 0.206599 sec
iteration: 107, loss: 4.887959, time: 0.207071 sec
iteration: 108, loss: 4.880262, time: 0.206566 sec
iteration: 109, loss: 4.872580, time: 0.206808 sec
iteration: 110, loss: 4.864915, time: 0.206652 sec
iteration: 111, loss: 4.857265, time: 0.206846 sec
iteration: 112, loss: 4.849631, time: 0.206752 sec
iteration: 113, loss: 4.842013, time: 0.206695 sec
iteration: 114, loss: 4.834411, time: 0.206681 sec
iteration: 115, loss: 4.826824, time: 0.206697 sec
iteration: 116, loss: 4.819254, time: 0.206525 sec
iteration: 117, loss: 4.811698, time: 0.206377 sec
iteration: 118, loss: 4.804159, time: 0.206476 sec
iteration: 119, loss: 4.796635, time: 0.281230 sec
iteration: 120, loss: 4.789126, time: 0.287845 sec
iteration: 121, loss: 4.781633, time: 0.288079 sec
iteration: 122, loss: 4.774156, time: 0.288128 sec
iteration: 123, loss: 4.766694, time: 0.288210 sec
iteration: 124, loss: 4.759247, time: 0.287745 sec
iteration: 125, loss: 4.751816, time: 0.288183 sec
iteration: 126, loss: 4.744400, time: 0.230579 sec
iteration: 127, loss: 4.737000, time: 0.221878 sec
iteration: 128, loss: 4.729615, time: 0.221392 sec
iteration: 129, loss: 4.722245, time: 0.221469 sec
iteration: 130, loss: 4.714890, time: 0.221440 sec
iteration: 131, loss: 4.707551, time: 0.221927 sec
iteration: 132, loss: 4.700226, time: 0.221373 sec
iteration: 133, loss: 4.692917, time: 0.221301 sec
iteration: 134, loss: 4.685623, time: 0.221570 sec
iteration: 135, loss: 4.678344, time: 0.221558 sec
iteration: 136, loss: 4.671080, time: 0.220973 sec
iteration: 137, loss: 4.663831, time: 0.220973 sec
iteration: 138, loss: 4.656597, time: 0.221024 sec
iteration: 139, loss: 4.649378, time: 0.220968 sec
iteration: 140, loss: 4.642173, time: 0.220759 sec
iteration: 141, loss: 4.634984, time: 0.221411 sec
iteration: 142, loss: 4.627809, time: 0.221058 sec
iteration: 143, loss: 4.620650, time: 0.221661 sec
iteration: 144, loss: 4.613505, time: 0.221266 sec
iteration: 145, loss: 4.606375, time: 0.221555 sec
iteration: 146, loss: 4.599259, time: 0.221265 sec
iteration: 147, loss: 4.592158, time: 0.221518 sec
iteration: 148, loss: 4.585072, time: 0.220504 sec
iteration: 149, loss: 4.578001, time: 0.220849 sec
iteration: 150, loss: 4.570944, time: 0.220806 sec
iteration: 151, loss: 4.563901, time: 0.220607 sec
iteration: 152, loss: 4.556873, time: 0.220750 sec
iteration: 153, loss: 4.549860, time: 0.221057 sec
iteration: 154, loss: 4.542861, time: 0.220802 sec
iteration: 155, loss: 4.535877, time: 0.223172 sec
iteration: 156, loss: 4.528907, time: 0.221316 sec
iteration: 157, loss: 4.521951, time: 0.221063 sec
iteration: 158, loss: 4.515010, time: 0.219721 sec
iteration: 159, loss: 4.508083, time: 0.221371 sec
iteration: 160, loss: 4.501170, time: 0.214803 sec
iteration: 161, loss: 4.494271, time: 0.215874 sec
iteration: 162, loss: 4.487387, time: 0.221419 sec
iteration: 163, loss: 4.480517, time: 0.221439 sec
iteration: 164, loss: 4.473661, time: 0.221042 sec
iteration: 165, loss: 4.466819, time: 0.221880 sec
iteration: 166, loss: 4.459991, time: 0.220625 sec
iteration: 167, loss: 4.453178, time: 0.221540 sec
iteration: 168, loss: 4.446378, time: 0.220905 sec
iteration: 169, loss: 4.439592, time: 0.220460 sec
iteration: 170, loss: 4.432821, time: 0.220753 sec
iteration: 171, loss: 4.426063, time: 0.221120 sec
iteration: 172, loss: 4.419319, time: 0.220718 sec
